,ID,Name,Price,Proccessor,Size,CPU Frequency,Volume
364,f5870340,Ноутбук Apple MacBook Pro 15 with Touch Bar Mid 2017 Space Gray MPTR2 MPTR2 Space Gray,830 900,Core i7,"15.4""",2800 MHz,256
365,f4652317,Ноутбук Apple MacBook Air 13 Mid 2017 MQD42 MQD42,474 900,Core i5,"13.3""",1800 MHz,256
366,f7131478,"Lenovo CASE_BO 15.6 Backpack B515 Blue-ROW / , LENOVO GX40Q75216, Аксессуары",7 200,Not Found,Not Found,Not Found,Not Found
367,f7129847,Ноутбук ASUS VivoBook 15 D509DA D509DA-BQ242T,327 218,AMD Ryzen 3,"15.6""",2600 MHz,512
368,f7107866,Ноутбук Lenovo IdeaPad L340-15API 81LW0086RK,198 230,Athlon 300U,"15.6""",2300 MHz,128
369,f7070254,Ноутбук DELL XPS 15 9500 210-AVQG Silver,837 928,Core i5,"15.6""",2500 MHz,1000
370,f6820769,Ноутбук DELL INSPIRON 15 3593,339 421,Core i7,"15.6""",1300 MHz,512
371,f6980447,Ноутбук ASUS VivoBook 14 X412DA Blue,212 866,AMD Ryzen 3,"14""",2600 MHz,256
372,f6874686,Ноутбук HP 250 G7 6UL18EA,194 461,Core i3,"15.6""",2300 MHz,1000
373,f6820952,Трансформер HP Envy x360 15-dr0001ur,601 021,Core i5,"15.6""",1600 MHz,256
374,f6814088,Игровой ноутбук Acer Nitro 5 AN515-43 NH.Q6NER.003,335 320,AMD Ryzen 5,"15.6""",2100 MHz,512
