Name;Price;Mark;Model;prod_type;Size;OS;RAM;Volume;main_camera;front_camera;videoshoot_format;videoshoot_resolution
Смартфон OPPO Reno 3 Pro, Moonlight Black;249 990;Oppo;Reno3 Pro;смартфон;"6.5""";Android 10;12 Гб;256 Гб;48+13+8+2;32;4K ;3840x2160 Пикс (4K)
Смартфон OPPO Reno 3, Sky White;159 990;Oppo;Reno 3;смартфон;"6.4""";Android 10;8 Гб;128 Гб;48+8+13+2;44;4K ;3840x2160 Пикс (4K)
Смартфон OPPO Reno 3, Auroral Blue;159 990;Oppo;Reno 3;смартфон;"6.4""";Android 10;8 Гб;128 Гб;48+8+13+2;44;4K ;3840x2160 Пикс (4K)
Смартфон OPPO Reno 3, Midnight Black;159 990;Oppo;Reno 3;смартфон;"6.4""";Android 10;8 Гб;128 Гб;48+8+13+2;44;4K ;3840x2160 Пикс (4K)
Смартфон OPPO A91, Blazing Blue;129 990;Oppo;A91;смартфон;"6.4""";Android 9.0;8 Гб;128 Гб;48+8+2+2;16;;
Смартфон OPPO A91, Lightening Black;129 990;Oppo;A91;смартфон;"6.4""";Android 9.0;8 Гб;128 Гб;48+8+2+2;16;;
Смартфон OPPO A31, Lake Green;74 790;Oppo;A31;смартфон;"6.5""";Android 9.0;4 Гб;64 Гб;12+2+2;8;Full HD, HD;1280x720
Смартфон OPPO A31, Mystery Black;74 790;Oppo;A31;смартфон;"6.5""";Android 9.0;4 Гб;64 Гб;12+2+2;8;Full HD, HD;1280x720
Смартфон OPPO A31, Fantasy White;74 790;Oppo;A31;смартфон;"6.5""";Android 9.0;4 Гб;64 Гб;12+2+2;8;Full HD, HD;1280x720
Смартфон Samsung Galaxy A41, White;109 890;Samsung;Galaxy A41;смартфон;"6.1""";Android ;4 Гб;64 Гб;48+8+5;25;FHD;1920x1080
Смартфон Samsung Galaxy A41, Black;109 890;Samsung;Galaxy A41;смартфон;"6.1""";Android ;4 Гб;64 Гб;48+8+5;25;FHD;1920x1080
Смартфон Samsung Galaxy A41, Blue;109 890;Samsung;Galaxy A41;смартфон;"6.1""";Android ;4 Гб;64 Гб;48+8+5;25;FHD;1920x1080
Смартфон Samsung Galaxy A31, White;99 890;Samsung;A31;смартфон;"6.4""";Android ;4 Гб;64 Гб;48+5+8+5;20;FHD;1920x1080
Смартфон Samsung Galaxy A31, Black;99 890;Samsung;A31;смартфон;"6.4""";Android ;4 Гб;64 Гб;48+5+8+5;20;FHD;1920x1080
Смартфон Samsung Galaxy A31, Blue;99 890;Samsung;A31;смартфон;"6.4""";Android ;4 Гб;64 Гб;48+5+8+5;20;FHD;1920x1080
